,UnitID,Species,Collection_Locale,DateCollected,AssociatedMedia
1763,CAM017311,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/3082688/files/CAM017311_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017311_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017311_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017311_v.JPG"
1764,CAM017312,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/1247307/files/CAM017312_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017312_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017312_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017312_v.JPG"
1765,CAM017314,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/3082688/files/CAM017314_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017314_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017314_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017314_d.JPG"
1766,CAM017315,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/1247307/files/CAM017315_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017315_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017315_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017315_v.JPG"
1767,CAM017316,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/3082688/files/CAM017316_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017316_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017316_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017316_v.JPG"
1768,CAM017317,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/1247307/files/CAM017317_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017317_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017317_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017317_d.JPG"
1769,CAM017318,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/1247307/files/CAM017318_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017318_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017318_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017318_d.JPG"
1770,CAM017319,Heliconius erato ssp. notabilis x lativitta,Km35 Antena,2010730,"https://zenodo.org/record/3082688/files/CAM017319_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017319_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017319_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017319_v.JPG"
1771,CAM017320,Heliconius erato ssp. notabilis,Mangayacu,201081,"https://zenodo.org/record/1247307/files/CAM017320_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017320_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017320_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017320_d.JPG"
1772,CAM017328,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017328_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017328_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017328_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017328_d.JPG"
1773,CAM017329,Heliconius melpomene ssp. plesseni x malleti,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017329_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017329_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017329_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017329_v.JPG"
1774,CAM017330,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017330_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017330_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017330_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017330_d.JPG"
1775,CAM017331,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/3082688/files/CAM017331_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017331_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017331_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017331_v.JPG"
1776,CAM017332,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017332_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017332_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017332_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017332_d.JPG"
1777,CAM017333,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017333_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017333_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017333_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017333_v.JPG"
1778,CAM017334,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201086,"https://zenodo.org/record/1247307/files/CAM017334_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017334_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017334_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017334_d.JPG"
1779,CAM017335,Heliconius melpomene ssp. plesseni x malleti,Km37 SanFcoDeLlandia Km3.3,201087,"https://zenodo.org/record/3082688/files/CAM017335_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017335_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017335_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017335_v.JPG"
1780,CAM017337,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201087,"https://zenodo.org/record/3082688/files/CAM017337_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017337_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017337_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017337_d.JPG"
1781,CAM017338,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201087,"https://zenodo.org/record/3082688/files/CAM017338_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017338_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017338_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017338_v.JPG"
1782,CAM017339,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201087,"https://zenodo.org/record/1247307/files/CAM017339_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017339_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017339_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017339_d.JPG"
1783,CAM017340,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201087,"https://zenodo.org/record/3082688/files/CAM017340_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017340_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017340_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017340_v.JPG"
1784,CAM017341,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/3082688/files/CAM017341_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017341_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017341_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017341_d.JPG"
1785,CAM017342,Heliconius erato ssp. notabilis,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017342_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017342_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017342_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017342_d.JPG"
1786,CAM017343,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017343_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017343_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017343_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017343_v.JPG"
1787,CAM017345,Heliconius melpomene ssp. plesseni x malleti,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017345_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017345_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017345_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017345_v.JPG"
1788,CAM017346,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017346_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017346_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017346_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017346_d.JPG"
1789,CAM017347,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017347_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017347_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017347_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017347_d.JPG"
1790,CAM017348,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/3082688/files/CAM017348_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017348_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017348_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017348_v.JPG"
1791,CAM017349,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/3082688/files/CAM017349_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017349_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017349_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017349_d.JPG"
1792,CAM017350,Heliconius erato ssp. notabilis x lativitta,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/3082688/files/CAM017350_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017350_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017350_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017350_v.JPG"
1793,CAM017351,Heliconius melpomene ssp. plesseni x malleti,Km37 SanFcoDeLlandia Km3.3,201088,"https://zenodo.org/record/1247307/files/CAM017351_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017351_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017351_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017351_v.JPG"
1794,CAM017352,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010811,"https://zenodo.org/record/4153502/files/CAM017352_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017352_d.JPG"
1795,CAM017353,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010811,"https://zenodo.org/record/4153502/files/CAM017353_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017353_d.JPG"
1796,CAM017356,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010811,"https://zenodo.org/record/4153502/files/CAM017356_d.JPG ,
https://zenodo.org/record/4153502/files/CAM017356_v.JPG"
1797,CAM017357,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010811,"https://zenodo.org/record/4153502/files/CAM017357_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017357_d.JPG"
1798,CAM017363,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010812,"https://zenodo.org/record/4153502/files/CAM017363_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017363_d.JPG"
1799,CAM017364,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010812,"https://zenodo.org/record/4153502/files/CAM017364_d.JPG ,
https://zenodo.org/record/4153502/files/CAM017364_v.JPG"
1800,CAM017371,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010814,"https://zenodo.org/record/4153502/files/CAM017371_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017371_d.JPG"
1801,CAM017372,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2011814,"https://zenodo.org/record/4153502/files/CAM017372_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017372_d.JPG"
1802,CAM017373,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2011814,"https://zenodo.org/record/4153502/files/CAM017373_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017373_d.JPG"
1803,CAM017376,Heliconius melpomene ssp. plesseni,Pindo-Mirador,2010815,"https://zenodo.org/record/4153502/files/CAM017376_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017376_d.JPG"
1804,CAM017381,Heliconius melpomene ssp. malleti,"San Pedro de Arajuno, Río Arajuno",2010827,"https://zenodo.org/record/1247307/files/CAM017381_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017381_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017381_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017381_v.JPG"
1805,CAM017393,Heliconius erato ssp. notabilis x lativitta,"San Pedro de Arajuno, Río Arajuno",2010830,"https://zenodo.org/record/1247307/files/CAM017393_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017393_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017393_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017393_v.JPG"
1806,CAM017395,Heliconius erato ssp. lativitta,Y de Misahuallí,201091,"https://zenodo.org/record/1247307/files/CAM017395_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017395_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017395_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017395_d.JPG"
1807,CAM017396,Heliconius erato ssp. lativitta,Y de Misahuallí,201091,"https://zenodo.org/record/4153502/files/CAM017396_d.JPG ,
https://zenodo.org/record/4153502/files/CAM017396_v.JPG"
