,UnitID,Species,Collection_Locale,DateCollected,AssociatedMedia
1,14N015,Heliconius melpomene ssp. cythera,,,"https://zenodo.org/record/4289223/files/14N015_v.JPG ,
https://zenodo.org/record/4289223/files/14N015_d.JPG"
2,14N501,Heliconius melpomene ssp. cythera,Guayllabamba,201426,"https://zenodo.org/record/4289223/files/14N501_v.JPG ,
https://zenodo.org/record/4289223/files/14N501_d.JPG"
3,14N502,Heliconius melpomene ssp. cythera,Guayllabamba,201496,"https://zenodo.org/record/4289223/files/14N502_d.JPG ,
https://zenodo.org/record/4289223/files/14N502_v.JPG"
4,14N503,Heliconius melpomene ssp. cythera,Guayllabamba,201496,"https://zenodo.org/record/4289223/files/14N503_d.JPG ,
https://zenodo.org/record/4289223/files/14N503_v.JPG"
5,14N512,Heliconius melpomene ssp. cythera,Guayllabamba,,"https://zenodo.org/record/4289223/files/14N512_v.JPG ,
https://zenodo.org/record/4289223/files/14N512_d.JPG"
6,15N004,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N004_v.JPG ,
https://zenodo.org/record/4289223/files/15N004_d.JPG"
7,15N009,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N009_v.JPG ,
https://zenodo.org/record/4289223/files/15N009_d.JPG"
8,15N020,Heliconius melpomene ssp. cythera,Road to Mashpi 2 (116),,"https://zenodo.org/record/4289223/files/15N020_d.JPG ,
https://zenodo.org/record/4289223/files/15N020_v.JPG"
9,15N035,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N035_d.JPG ,
https://zenodo.org/record/4289223/files/15N035_v.JPG"
10,15N036,Heliconius melpomene ssp. cythera,Mashpi town (117),,"https://zenodo.org/record/4289223/files/15N036_d.JPG ,
https://zenodo.org/record/4289223/files/15N036_v.JPG"
11,15N145,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N145_d.JPG ,
https://zenodo.org/record/4289223/files/15N145_v.JPG"
12,15N146,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N146_d.JPG ,
https://zenodo.org/record/4289223/files/15N146_v.JPG"
13,15N149,Heliconius erato ssp. venus,Queremal,,"https://zenodo.org/record/4289223/files/15N149_d.JPG ,
https://zenodo.org/record/4289223/files/15N149_v.JPG"
14,16N063,Heliconius melpomene ssp. vulcanus,Cocalito,,"https://zenodo.org/record/4289223/files/16N063_v.JPG ,
https://zenodo.org/record/4289223/files/16N063_d.JPG"
15,16N066,Heliconius melpomene ssp. vulcanus,Cocalito 2 ,,"https://zenodo.org/record/4289223/files/16N066_d.JPG ,
https://zenodo.org/record/4289223/files/16N066_v.JPG"
16,16N092,Heliconius melpomene ssp. vulcanus,Potes 2 ,,"https://zenodo.org/record/4289223/files/16N092_d.JPG ,
https://zenodo.org/record/4289223/files/16N092_v.JPG"
17,16N094,Heliconius melpomene ssp. vulcanus,Potes 2 ,,"https://zenodo.org/record/4289223/files/16N094_v.JPG ,
https://zenodo.org/record/4289223/files/16N094_d.JPG"
18,18N0602,Heliconius erato ssp. lativitta,Ikiam Mariposario,20181119,"https://zenodo.org/record/4288311/files/18N0602_v.JPG ,
https://zenodo.org/record/4288311/files/18N0602_d.JPG"
19,18N0614,Heliconius erato ssp. lativitta,Ikiam Mariposario,20181215,"https://zenodo.org/record/4288311/files/18N0614_v.JPG ,
https://zenodo.org/record/4288311/files/18N0614_d.JPG"
20,18N0651,Heliconius erato ssp. lativitta,San Pedro de Arajuno,20181226,"https://zenodo.org/record/4288311/files/18N0651_v.JPG ,
https://zenodo.org/record/4288311/files/18N0651_d.JPG"
21,19N0000,Heliconius melpomene ssp. malleti,Wild sumaco 2,20181113,"https://zenodo.org/record/4288311/files/19N0000_d.JPG ,
https://zenodo.org/record/4288311/files/19N0000_v.JPG"
22,19N0004,Heliconius erato ssp. lativitta,Rio Pusuno 2,2019112,"https://zenodo.org/record/4288311/files/19N0004_v.JPG ,
https://zenodo.org/record/4288311/files/19N0004_d.JPG"
23,19N0005,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0005_d.JPG ,
https://zenodo.org/record/4288311/files/19N0005_v.JPG"
24,19N0006,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0006_d.JPG ,
https://zenodo.org/record/4288311/files/19N0006_v.JPG"
25,19N0007,Heliconius erato ssp. lativitta,Rio Pusuno 2,2019126,"https://zenodo.org/record/4288311/files/19N0007_v.JPG ,
https://zenodo.org/record/4288311/files/19N0007_d.JPG"
26,19N0008,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0008_d.JPG ,
https://zenodo.org/record/4288311/files/19N0008_v.JPG"
27,19N0009,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0009_d.JPG ,
https://zenodo.org/record/4288311/files/19N0009_v.JPG"
28,19N0010,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0010_d.JPG ,
https://zenodo.org/record/4288311/files/19N0010_v.JPG"
29,19N0011,Heliconius erato ssp. lativitta,Venecia,,"https://zenodo.org/record/4288311/files/19N0011_d.JPG ,
https://zenodo.org/record/4288311/files/19N0011_v.JPG"
30,19N0012,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0012_v.JPG ,
https://zenodo.org/record/4288311/files/19N0012_d.JPG"
31,19N0013,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0013_d.JPG ,
https://zenodo.org/record/4288311/files/19N0013_v.JPG"
32,19N0014,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0014_v.JPG ,
https://zenodo.org/record/4288311/files/19N0014_d.JPG"
33,19N0015,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0015_d.JPG ,
https://zenodo.org/record/4288311/files/19N0015_v.JPG"
34,19N0016,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0016_d.JPG ,
https://zenodo.org/record/4288311/files/19N0016_v.JPG"
35,19N0017,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0017_d.JPG ,
https://zenodo.org/record/4288311/files/19N0017_v.JPG"
36,19N0018,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0018_d.JPG ,
https://zenodo.org/record/4288311/files/19N0018_v.JPG"
37,19N0019,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0019_v.JPG ,
https://zenodo.org/record/4288311/files/19N0019_d.JPG"
38,19N0020,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0020_d.JPG ,
https://zenodo.org/record/4288311/files/19N0020_v.JPG"
39,19N0021,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0021_v.JPG ,
https://zenodo.org/record/4288311/files/19N0021_d.JPG"
40,19N0022,Heliconius erato ssp. lativitta,Challua Yaku Grande,20181219,"https://zenodo.org/record/4288311/files/19N0022_d.JPG ,
https://zenodo.org/record/4288311/files/19N0022_v.JPG"
41,19N0023,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0023_v.JPG ,
https://zenodo.org/record/4288311/files/19N0023_d.JPG"
42,19N0025,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0025_v.JPG ,
https://zenodo.org/record/4288311/files/19N0025_d.JPG"
43,19N0026,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0026_v.JPG ,
https://zenodo.org/record/4288311/files/19N0026_d.JPG ,
https://zenodo.org/record/4288311/files/19N0026_v.CR2"
44,19N0027,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0027_d.JPG ,
https://zenodo.org/record/4288311/files/19N0027_v.JPG"
45,19N0028,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0028_d.JPG ,
https://zenodo.org/record/4288311/files/19N0028_v.JPG"
46,19N0029,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0029_d.JPG ,
https://zenodo.org/record/4288311/files/19N0029_v.JPG"
47,19N0030,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0030_v.JPG ,
https://zenodo.org/record/4288311/files/19N0030_d.JPG"
48,19N0031,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0031_v.JPG ,
https://zenodo.org/record/4288311/files/19N0031_d.JPG"
49,19N0032,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0032_v.JPG ,
https://zenodo.org/record/4288311/files/19N0032_d.JPG"
50,19N0033,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0033_v.JPG ,
https://zenodo.org/record/4288311/files/19N0033_d.JPG"
51,19N0034,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0034_v.JPG ,
https://zenodo.org/record/4288311/files/19N0034_d.JPG"
52,19N0035,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0035_d.JPG ,
https://zenodo.org/record/4288311/files/19N0035_v.JPG"
53,19N0037,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0037_v.JPG ,
https://zenodo.org/record/4288311/files/19N0037_d.JPG"
54,19N0038,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0038_d.JPG ,
https://zenodo.org/record/4288311/files/19N0038_v.JPG"
55,19N0039,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0039_d.JPG ,
https://zenodo.org/record/4288311/files/19N0039_v.JPG"
56,19N0040,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0040_v.JPG ,
https://zenodo.org/record/4288311/files/19N0040_d.JPG"
57,19N0041,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0041_d.JPG ,
https://zenodo.org/record/4288311/files/19N0041_v.JPG"
58,19N0042,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0042_v.JPG ,
https://zenodo.org/record/4288311/files/19N0042_d.JPG"
59,19N0043,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0043_d.JPG ,
https://zenodo.org/record/4288311/files/19N0043_v.JPG"
60,19N0044,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0044_v.JPG ,
https://zenodo.org/record/4288311/files/19N0044_d.JPG"
61,19N0045,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0045_d.JPG ,
https://zenodo.org/record/4288311/files/19N0045_v.JPG"
62,19N0046,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0046_v.JPG ,
https://zenodo.org/record/4288311/files/19N0046_d.JPG"
63,19N0047,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0047_d.JPG ,
https://zenodo.org/record/4288311/files/19N0047_v.JPG"
64,19N0049,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0049_v.JPG ,
https://zenodo.org/record/4288311/files/19N0049_d.JPG"
65,19N0050,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0050_v.JPG ,
https://zenodo.org/record/4288311/files/19N0050_d.JPG"
66,19N0051,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0051_d.JPG ,
https://zenodo.org/record/4288311/files/19N0051_v.CR2 ,
https://zenodo.org/record/4288311/files/19N0051_v.JPG ,
https://zenodo.org/record/4288311/files/19N0051_d.CR2"
67,19N0053,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0053_v.JPG ,
https://zenodo.org/record/4288311/files/19N0053_d.JPG"
68,19N0054,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0054_v.JPG ,
https://zenodo.org/record/4288311/files/19N0054_d.JPG"
69,19N0055,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0055_d.JPG ,
https://zenodo.org/record/4288311/files/19N0055_v.JPG"
70,19N0056,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0056_d.JPG ,
https://zenodo.org/record/4288311/files/19N0056_v.JPG"
71,19N0057,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0057_d.JPG ,
https://zenodo.org/record/4288311/files/19N0057_v.JPG ,
https://zenodo.org/record/4288311/files/19N0057_d.CR2 ,
https://zenodo.org/record/4288311/files/19N0057_v.CR2"
72,19N0058,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0058_d.JPG ,
https://zenodo.org/record/4288311/files/19N0058_v.JPG"
73,19N0060,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0060_v.JPG ,
https://zenodo.org/record/4288311/files/19N0060_d.JPG ,
https://zenodo.org/record/4288311/files/19N0060_v.CR2"
74,19N0061,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0061_d.JPG ,
https://zenodo.org/record/4288311/files/19N0061_v.JPG"
75,19N0062,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0062_v.JPG ,
https://zenodo.org/record/4288311/files/19N0062_d.JPG"
76,19N0063,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0063_d.JPG ,
https://zenodo.org/record/4288311/files/19N0063_v.JPG"
77,19N0064,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0064_v.JPG ,
https://zenodo.org/record/4288311/files/19N0064_d.JPG"
78,19N0065,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0065_v.JPG ,
https://zenodo.org/record/4288311/files/19N0065_d.JPG"
79,19N0066,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0066_v.JPG ,
https://zenodo.org/record/4288311/files/19N0066_d.JPG"
80,19N0067,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0067_d.JPG ,
https://zenodo.org/record/4288311/files/19N0067_v.JPG"
81,19N0068,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0068_d.JPG ,
https://zenodo.org/record/4288311/files/19N0068_v.JPG"
82,19N0069,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0069_v.JPG ,
https://zenodo.org/record/4288311/files/19N0069_d.JPG"
83,19N0070,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0070_d.JPG ,
https://zenodo.org/record/4288311/files/19N0070_v.JPG"
84,19N0071,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0071_d.JPG ,
https://zenodo.org/record/4288311/files/19N0071_v.JPG"
85,19N0072,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0072_v.JPG ,
https://zenodo.org/record/4288311/files/19N0072_d.JPG"
86,19N0073,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0073_v.JPG ,
https://zenodo.org/record/4288311/files/19N0073_d.JPG"
87,19N0074,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0074_d.JPG ,
https://zenodo.org/record/4288311/files/19N0074_v.JPG"
88,19N0075,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0075_v.JPG ,
https://zenodo.org/record/4288311/files/19N0075_d.JPG"
89,19N0076,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0076_d.JPG ,
https://zenodo.org/record/4288311/files/19N0076_v.JPG"
90,19N0077,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0077_v.JPG ,
https://zenodo.org/record/4288311/files/19N0077_d.JPG"
91,19N0079,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0079_v.JPG ,
https://zenodo.org/record/4288311/files/19N0079_d.JPG"
92,19N0080,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0080_d.JPG ,
https://zenodo.org/record/4288311/files/19N0080_v.JPG"
93,19N0081,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0081_d.JPG ,
https://zenodo.org/record/4288311/files/19N0081_v.JPG"
94,19N0082,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0082_d.JPG ,
https://zenodo.org/record/4288311/files/19N0082_v.JPG"
95,19N0083,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0083_v.JPG ,
https://zenodo.org/record/4288311/files/19N0083_d.JPG"
96,19N0084,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0084_d.JPG ,
https://zenodo.org/record/4288311/files/19N0084_v.JPG"
97,19N0085,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0085_v.JPG ,
https://zenodo.org/record/4288311/files/19N0085_d.JPG"
98,19N0086,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0086_v.JPG ,
https://zenodo.org/record/4288311/files/19N0086_d.JPG"
99,19N0087,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0087_d.JPG ,
https://zenodo.org/record/4288311/files/19N0087_v.JPG"
100,19N0088,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0088_v.JPG ,
https://zenodo.org/record/4288311/files/19N0088_d.JPG"
101,19N0089,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0089_v.JPG ,
https://zenodo.org/record/4288311/files/19N0089_d.JPG"
102,19N0090,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0090_d.JPG ,
https://zenodo.org/record/4288311/files/19N0090_v.JPG"
103,19N0091,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0091_v.JPG ,
https://zenodo.org/record/4288311/files/19N0091_d.JPG"
104,19N0092,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0092_v.JPG ,
https://zenodo.org/record/4288311/files/19N0092_d.JPG"
105,19N0093,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0093_v.JPG ,
https://zenodo.org/record/4288311/files/19N0093_d.JPG"
106,19N0094,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0094_v.JPG ,
https://zenodo.org/record/4288311/files/19N0094_d.JPG"
107,19N0095,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0095_d.JPG ,
https://zenodo.org/record/4288311/files/19N0095_v.JPG"
108,19N0097,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0097_d.JPG ,
https://zenodo.org/record/4288311/files/19N0097_v.JPG"
109,19N0098,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0098_d.JPG ,
https://zenodo.org/record/4288311/files/19N0098_v.JPG"
110,19N0100,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0100_d.JPG ,
https://zenodo.org/record/4288311/files/19N0100_v.JPG"
111,19N0101,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0101_v.JPG ,
https://zenodo.org/record/4288311/files/19N0101_d.JPG"
112,19N0102,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0102_d.JPG ,
https://zenodo.org/record/4288311/files/19N0102_v.JPG"
113,19N0103,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0103_d.JPG ,
https://zenodo.org/record/4288311/files/19N0103_v.JPG"
114,19N0104,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0104_d.JPG ,
https://zenodo.org/record/4288311/files/19N0104_v.JPG"
115,19N0105,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0105_d.JPG ,
https://zenodo.org/record/4288311/files/19N0105_v.JPG"
116,19N0106,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0106_d.JPG ,
https://zenodo.org/record/4288311/files/19N0106_v.JPG"
117,19N0107,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0107_d.JPG ,
https://zenodo.org/record/4288311/files/19N0107_v.JPG"
118,19N0108,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0108_v.JPG ,
https://zenodo.org/record/4288311/files/19N0108_d.JPG"
119,19N0109,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0109_d.JPG ,
https://zenodo.org/record/4288311/files/19N0109_v.JPG"
120,19N0110,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0110_v.JPG ,
https://zenodo.org/record/4288311/files/19N0110_d.JPG"
121,19N0111,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0111_d.JPG ,
https://zenodo.org/record/4288311/files/19N0111_v.JPG"
122,19N0112,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0112_d.JPG ,
https://zenodo.org/record/4288311/files/19N0112_v.JPG"
123,19N0113,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0113_v.JPG ,
https://zenodo.org/record/4288311/files/19N0113_d.JPG"
124,19N0114,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0114_v.JPG ,
https://zenodo.org/record/4288311/files/19N0114_d.JPG"
125,19N0115,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0115_d.JPG ,
https://zenodo.org/record/4288311/files/19N0115_v.JPG"
126,19N0116,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0116_v.JPG ,
https://zenodo.org/record/4288311/files/19N0116_d.JPG"
127,19N0118,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0118_d.JPG ,
https://zenodo.org/record/4288311/files/19N0118_v.JPG"
128,19N0120,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0120_d.JPG ,
https://zenodo.org/record/4288311/files/19N0120_v.JPG"
129,19N0121,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0121_v.JPG ,
https://zenodo.org/record/4288311/files/19N0121_d.JPG"
130,19N0122,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0122_v.JPG ,
https://zenodo.org/record/4288311/files/19N0122_d.JPG"
131,19N0123,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0123_d.JPG ,
https://zenodo.org/record/4288311/files/19N0123_v.JPG"
132,19N0124,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0124_d.JPG ,
https://zenodo.org/record/4288311/files/19N0124_v.JPG"
133,19N0125,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0125_d.JPG ,
https://zenodo.org/record/4288311/files/19N0125_v.JPG"
134,19N0126,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0126_d.JPG ,
https://zenodo.org/record/4288311/files/19N0126_v.JPG"
135,19N0127,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0127_d.JPG ,
https://zenodo.org/record/4288311/files/19N0127_v.JPG"
136,19N0128,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0128_v.JPG ,
https://zenodo.org/record/4288311/files/19N0128_d.JPG"
137,19N0129,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0129_d.JPG ,
https://zenodo.org/record/4288311/files/19N0129_v.JPG"
138,19N0130,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0130_d.JPG ,
https://zenodo.org/record/4288311/files/19N0130_v.JPG"
139,19N0131,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0131_v.JPG ,
https://zenodo.org/record/4288311/files/19N0131_d.JPG"
140,19N0132,Heliconius erato ssp. lativitta,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0132_d.JPG ,
https://zenodo.org/record/4288311/files/19N0132_v.JPG"
141,19N0133,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0133_d.JPG ,
https://zenodo.org/record/4288311/files/19N0133_v.JPG"
142,19N0134,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0134_v.JPG ,
https://zenodo.org/record/4288311/files/19N0134_d.JPG"
143,19N0135,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0135_v.JPG ,
https://zenodo.org/record/4288311/files/19N0135_d.JPG"
144,19N0136,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0136_d.JPG ,
https://zenodo.org/record/4288311/files/19N0136_v.JPG"
145,19N0137,Heliconius melpomene ssp. malleti,Ikiam Mariposario,,"https://zenodo.org/record/4288311/files/19N0137_v.JPG ,
https://zenodo.org/record/4288311/files/19N0137_d.JPG"
